Title,Url,Description,Publish At
"Digiday: Attention metrics vie for the industry's, well, attention",https://www.tvisioninsights.com/resources/digiday-attention-metrics,"As Attention metrics gain traction as a new form of ad currency, the industry is increasingly considering the impact of attention measurement on cross-platform campaign effectiveness and performance.","Thu, 13 May 2021 20:06:42 GMT"
Upfront 2021: Show Me the Value,https://www.tvisioninsights.com/resources/upfront-2021-show-value,"As we approach the pinnacle of the 2021 Upfront with presentations by Disney, ViacomCBS and Fox set for the next week, it's important to consider the right way to value and prioritize advertising investments in programming.


Ratings have long served as the primary currency during the Upfront. But we all know that ratings only tell part of the story. In today’s distracted environment, ratings alone don’t mean people are in the room, paying attention.
In tip number 3 in our Upfront planning ebook - Six Things Advertisers Need to Know this Upfront Season -  we provide marketers with a look into the top shows that deliver both ratings and attention. 
A few shows that deliver both audience size and attention are obvious investment opportunities:

The Bachelor
The Conners
Young Sheldon 
NCIS

Download the eBook to see our full chart of top shows. Some programs will surprise you with their placement in our chart - as a few ratings powerhouses fail to deliver strong attention, despite audience size.  


By layering TVision’s person-level engagement data on top of ratings, advertisers can make the most of their Upfront investment by finding shows that truly deliver on the promise of a large and engaged audience.","Tue, 11 May 2021 21:36:06 GMT"
Yan Liu Recognized as one of the Outstanding Chinese Youth of 2021,https://www.tvisioninsights.com/resources/yan-liu-chinese-youth,"TVision is proud to announce that Yan Liu, the company's CEO and co-founder, was included on the list of ""Outstanding Chinese Youth of 2021."" The list is created by the LA Post, an independent newspaper serving Chinese Americans, All America Chinese Youth Federation, and the American Chinese Public Diplomacy Association. Yan was recognized for leading TVision as we innovate the way advertising and TV is bought and sold.
The recognition is an important part of  the celebration of Chinese communities during the Asian American and Pacific Islander Heritage Month each year.
Read the complete list of honorees here.","Tue, 11 May 2021 12:00:00 GMT"
Upfront 2021 Planning: Find your audience where they pay attention,https://www.tvisioninsights.com/resources/upfront-2021-find-your-audience,"As the industry prepares to invest north of $18 billion during the TV and CTV Upfront season, advertisers are looking for every advantage to make sure that their investments are impactful. But, as consumers of TV, we all know ads are sometimes shown to audiences who are simply not paying attention.
That's why tip number two in our Upfront planning ebook - Six Things Advertisers Need to Know this Upfront Season -  focuses on ways to optimize for viewer attention across daypart, network and programming. Here is a sneak peak at the data and insights you will find in the eBook.","Fri, 07 May 2021 12:39:58 GMT"
Gaining Insights Is Fundamental for API Security,https://www.imperva.com/blog/gaining-insights-is-fundamental-for-api-security/,"As enterprises continue their digital transformation journey in this Post-COVID era, applications are the engine that drives their business growth. Whether it’s a digital-first enterprise or one that is accelerating its digital transformation initiatives, APIs are not only opening up systems so that applications can run faster, but also the de facto core of today’s […]
The post Gaining Insights Is Fundamental for API Security appeared first on Blog.","Mon, 31 May 2021 14:01:46 +0000"
Imperva’s WAF Gateway 14.4 Protects Enterprises for the Post-COVID Era,https://www.imperva.com/blog/impervas-waf-gateway-14-4-protects-enterprises-for-the-post-covid-era/,"Whether it’s called the New Normal or Next Normal era, COVID-19 has impacted all businesses worldwide and accelerated their digital transformation initiatives during this new post-pandemic era. Whether it’s from a recent retail trend like omnichannel commerce or a newly defined, post-COVID practice like contactless transactions, businesses are definitely going digital. There was a period, […]
The post Imperva’s WAF Gateway 14.4 Protects Enterprises for the Post-COVID Era appeared first on Blog.","Mon, 31 May 2021 13:56:40 +0000"
Why adopt a data-centric solution for data privacy?,https://www.imperva.com/blog/why-adopt-a-data-centric-solution-for-data-privacy/,"Enterprises understand the importance of having access to their consumers’ personal information. This data enables them to more easily build personal relationships with their audiences, using what they know about that audience to provide tailored experiences and recommendations. The internet has been the catalyst, enabling connected consumers to leverage the most transformative innovations of the […]
The post Why adopt a data-centric solution for data privacy? appeared first on Blog.","Thu, 27 May 2021 14:05:32 +0000"
Top Four Reasons for Data Loss from Databases (and what to do about it),https://www.imperva.com/blog/top-four-reasons-for-data-loss-from-databases-and-what-to-do-about-it/,"The need for data loss prevention (DLP) is well understood by IT security practitioners. As organizations embrace cloud-based managed database services such as Amazon RDS and Amazon Redshift, these risks don’t go away, and in many ways become more serious. Although AWS takes the security of their infrastructure very seriously, it is up to individual […]
The post Top Four Reasons for Data Loss from Databases (and what to do about it) appeared first on Blog.","Wed, 26 May 2021 13:28:40 +0000"
Why Geek Pride Day is Something to be Proud Of,https://www.imperva.com/blog/why-geek-pride-day-is-something-to-be-proud-of/,"It’s fair to say that the majority of us who work in cybersecurity are ‘of a certain mindset’. There’s something that comes with the culture and tradition of personal computing, coding, and data that fosters an interest in elements of geek counter culture. Happy to wear our fandoms, obsessions, and hobbies on our sleeves, we […]
The post Why Geek Pride Day is Something to be Proud Of appeared first on Blog.","Tue, 25 May 2021 12:47:54 +0000"
Imperva® Offers Free Serverless Protection for AWS Lambda,https://www.imperva.com/blog/imperva-offers-free-serverless-protection-for-aws-lambda/,"Just as other instant computing infrastructures have done in the past, Function-as-a-Service (FaaS) now enables DevOps teams to deploy applications more efficiently at a fraction of the cost. AWS Lambda, Amazon Web Services’ (AWS) serverless approach to infrastructure, enables companies to go-to-market at an even faster rate without worrying about computing cost or capabilities. Consequently, […]
The post Imperva® Offers Free Serverless Protection for AWS Lambda appeared first on Blog.","Mon, 24 May 2021 18:31:26 +0000"
Web Scraping: The Fine Line Between Business Intelligence and Data Privacy Violation. Is it Legal?,https://www.imperva.com/blog/web-scraping-is-it-legal-a-legitimate-business-or-a-data-privacy-violation/,"Web Scraping is the use of automated software (also known as bots) to extract content and data from a website. It is also classified by the OWASP as an automated threat (OAT-011). Web Scraping differs from Screen Scraping in that it can extract underlying HTML code and data that is stored in databases while Screen […]
The post Web Scraping: The Fine Line Between Business Intelligence and Data Privacy Violation. Is it Legal? appeared first on Blog.","Wed, 19 May 2021 14:37:34 +0000"
"Fast, Effective N-grams Extraction and Analysis with SQL",https://www.imperva.com/blog/fast-n-grams-extraction-and-analysis-with-sql/,"Features extraction is expensive, especially when dealing with big data. That’s why it’s great when you have the ability to preprocess close to the database – the data stays in the DB and doesn’t have to move out, unless necessary. One common approach for text data representation is N-grams. N-grams are a contiguous sequence of […]
The post Fast, Effective N-grams Extraction and Analysis with SQL appeared first on Blog.","Tue, 18 May 2021 13:37:22 +0000"
JavaScript Fraud: More Than Just Magecart and Skimming,https://www.imperva.com/blog/javascript-fraud-more-than-just-magecart-and-skimming/,"The global pandemic has driven a sharp rise in online traffic that provides fertile ground for attackers to execute a growing number of more sophisticated client-side attacks. For example, Magecart-style attacks are used to steal sensitive information by skimming data either through a first-party JavaScript, or through a third-party (aka the supply chain). Accessing Personally […]
The post JavaScript Fraud: More Than Just Magecart and Skimming appeared first on Blog.","Thu, 13 May 2021 14:47:13 +0000"
From the Data Scientist’s Desk: How to Tune a Model Using Simple Analytics on the Feature Contribution Data,https://www.imperva.com/blog/how-to-tune-a-model-using-simple-analytics-on-the-feature-contribution-data/,"My story: My model looked good. It was as accurate as I wanted it to be and I was happy with it from one experiment to another. When I decided to change the test data set a bit, everything fell apart. Accuracy dropped and I had no clue why. I had to run the test […]
The post From the Data Scientist’s Desk: How to Tune a Model Using Simple Analytics on the Feature Contribution Data appeared first on Blog.","Wed, 12 May 2021 13:06:17 +0000"
The Transformation Series: Chris Low,https://videoamp.com/blog/the-transformation-series-chris-low/,"by Chris Low, Senior Account Executive The first time I applied to VideoAmp I was rejected. I had heard they were a company making big disruptions in the connected TV space and having a lot of fun doing it. So I deleted my rejection email and applied again. Long story short, they gave me a […]
The post The Transformation Series: Chris Low appeared first on VideoAmp.","Thu, 27 May 2021 16:27:29 +0000"
How We’re Using Analytics to Strengthen The Way We Work: Systems Thinking & Effectiveness,https://videoamp.com/blog/how-were-using-analytics-to-strengthen-the-way-we-work-systems-thinking-effectiveness/,"Whenever I’ve experienced upper back pain, for years I would ask my better half to give me a massage to help alleviate the pain. Seems like a sensible approach. Or so I thought. A couple of years ago I learned that a much more effective way to alleviate upper back pain — at least the […]
The post How We’re Using Analytics to Strengthen The Way We Work: Systems Thinking & Effectiveness appeared first on VideoAmp.","Thu, 20 May 2021 15:00:04 +0000"
Instagram vs. Reality: Mother’s Day Edition,https://videoamp.com/blog/instagram-vs-reality-mothers-day-edition/,"For Mother’s Day we wanted to find a fun way to highlight some of our VideoAmp moms. These ladies are legends, juggling family, work, friends and everything else along the way. While we all try to put our best foot forward, sometimes life just HAPPENS. We asked our mommas to send us their best mom-life […]
The post Instagram vs. Reality: Mother’s Day Edition appeared first on VideoAmp.","Fri, 07 May 2021 17:30:20 +0000"
A Home for Harriett’s Bookshop,https://videoamp.com/blog/a-home-for-harrietts-bookshop/,"Harriett’s Bookshop, named after historical heroine Harriet Tubman, opened weeks before the pandemic hit by founder and owner Jeannine A. Cook in Philadelphia. With much support from her sister, Jasmaine Cook, Jeannine started the bookshop with a mission to celebrate women authors, activists, and artists. Facing and pulling through all of the challenges that came […]
The post A Home for Harriett’s Bookshop appeared first on VideoAmp.","Wed, 05 May 2021 14:49:35 +0000"
"Virtual Data Bites, Volume 1",https://videoamp.com/blog/virtual-data-bites-volume-1/,"A Mission to Improve Measurability The ABC’s of ad tech? Always Be Changing. In our first installment of Virtual Data Bites, a VideoAmp thought leadership series, we explore what’s changing and what the impacts on our clients are, arming them with the education they need to make more informed decisions. Independent of the rapid industry […]
The post Virtual Data Bites, Volume 1 appeared first on VideoAmp.","Tue, 04 May 2021 04:48:20 +0000"
"VideoAmp Awarded Gold Stevie as “Best New Product and Service of the Year, Video Platform for Media & Publishers”",https://videoamp.com/blog/videoamp-awarded-gold-stevie-as-best-new-product-and-service-of-the-year-video-platform-for-media-publishers/,"VideoAmp has been named winner of a Gold Stevie® Award in The 19th Annual American Business Awards® for the Best New Product and Service of the Year – Video Platform for Media & Publishers category. What are the Stevie® Awards? The Stevie® Awards are the world’s premier business awards. They were created in 2002 to […]
The post VideoAmp Awarded Gold Stevie as “Best New Product and Service of the Year, Video Platform for Media & Publishers” appeared first on VideoAmp.","Thu, 29 Apr 2021 16:52:10 +0000"
The Transformation Series: Steven Schowalter,https://videoamp.com/blog/the-transformation-series-steven-schowalter/,"by Steven Schowalter, Data Scientist Fifteen years ago you would have found me in the woods surrounding West Point, NY carrying an M16 and a rucksack, training to become an officer in the US Army.  Ever since I was a kid, my West Point parents had groomed me to follow in their footsteps and become […]
The post The Transformation Series: Steven Schowalter appeared first on VideoAmp.","Thu, 29 Apr 2021 14:27:00 +0000"
How We’re Using Analytics to Strengthen The Way We Work: Transparency & Trust,https://videoamp.com/blog/how-were-using-analytics-to-strengthen-the-way-we-work-transparency-trust/,"by Min Park, VP of People Strategy & Analytics We live in an age of misinformation (O’Connor & Weatherall 2019): What we believe can have more to do with who we know than seemingly proven facts. Put another way, trust often matters more than the truth in shaping our beliefs and therefore our actions. And […]
The post How We’re Using Analytics to Strengthen The Way We Work: Transparency & Trust appeared first on VideoAmp.","Thu, 15 Apr 2021 16:29:31 +0000"
Design Deep Dive: Building a Sketch Library,https://videoamp.com/blog/building-a-sketch-library/,"By Kaleho Naki, Principal Designer As a designer at VideoAmp, my creations aren’t only meant to be aesthetically pleasing, they are also meant to make really complex workflows easy to use and digest. When creating user interface workflows, our product engineers and designers have a daunting task in front of them and one way we […]
The post Design Deep Dive: Building a Sketch Library appeared first on VideoAmp.","Fri, 09 Apr 2021 15:36:59 +0000"
Got Milk? Addressing Fragmentation in the TV Landscape,https://videoamp.com/blog/got-milk/,"There’s a common refrain we keep hearing across the industry to rationalize a decrease in linear TV viewership, especially over the last year. Where have all the viewers gone? They’ve shifted to OTT, of course! Cord cutting and cord shaving became the new buzz words heading into 2021 as advertisers jumped on board to better […]
The post Got Milk? Addressing Fragmentation in the TV Landscape appeared first on VideoAmp.","Tue, 06 Apr 2021 19:00:00 +0000"
How to Use Creative Content to Drive Revenue for Retailers,https://celtra.com/blog/creative-revenue-marketing-retailers/,"What happens when an unstoppable force hits an immovable object? Just ask every major retailer about 2020. After retail sales experienced a staggering 20% drop from February to April last year, we saw many major retailers fall into pandemic bankruptcy. Although we’ve seen great bounce backs in the second half of the year, driving revenue […]","Wed, 26 May 2021 16:43:42 +0000"
Celtra Takes on Pinterest With Shopify as Launch Partner,https://celtra.com/blog/celtra-takes-on-pinterest-with-shopify-as-launch-partner/,"We have exciting news on the product front, especially for CPG, apparel, and e-commerce marketers! Celta is now an official Pinterest Dynamic Creative Partner! This partnership will enable a direct API integration with our platform, allowing brands to produce and distribute Pinterest ads at scale. With consumers spending more time online, the demand to produce […]","Wed, 26 May 2021 16:24:24 +0000"
Scaling Audience-Based Messaging for Quick-Serve Restaurants,https://celtra.com/blog/scaling-audience-based-messaging-for-quick-serve-restaurants/,"Quick-serve restaurant marketing relies on running a high volume of unique campaigns on a monthly or even weekly basis. From loyalty programs to new menu items or seasonal promotions (looking at you, iced matcha latteccino!), all these campaigns need their own, unique look and feel. Throw in personalization and audience-based messaging, and the volume of […]","Tue, 18 May 2021 13:48:13 +0000"
How To Make Fashion Campaigns Interesting at Scale,https://celtra.com/blog/how-to-make-fashion-campaigns-interesting-at-scale/,"The fashion industry is soaring. In 2020, the global apparel market was worth $1.5 trillion and is expected to grow to $2.25 trillion by 2025. This industry explosion is great news for fashion-lovers everywhere, but it brings new challenges for marketers to the surface. How can you differentiate from new fashion brands? How do you […]","Tue, 11 May 2021 16:37:09 +0000"
"Brand-Side Marketing, Studio, and Design Jobs",https://celtra.com/blog/brand-side-marketing-studio-and-design-jobs/,"With the pandemic affecting all of us, many talented marketing, design, and creative operations/studio friends and colleagues are finding themselves on the market for a new position. To make the search a little easier, we’re rounding up the latest brand-side jobs from around the country (and the globe) and will be sharing them weekly. Best […]","Mon, 03 May 2021 13:45:08 +0000"
5 Shoppable Ads to Consider In Your Product Suite,https://celtra.com/blog/5-shoppable-ads-to-consider-in-your-product-suite/,"More people are online and working from home than ever before. This change in behavior even has shoppers spending an extra $1.2 billion during work hours. Although e-commerce is booming, it means that advertising content needs to stand out to avoid getting lost in the mix. If every shoppable ad starts to look and feel […]","Thu, 29 Apr 2021 17:58:18 +0000"
Agency Q&A: In Conversation with Byte’s Managing Director,https://celtra.com/blog/agency-qa-in-conversation-with-bytes-managing-director/,"Byte, a marketing technology agency, supports brands with everything from creative concepting to production and optimization. The agency’s ultimate goal is to help brands drive growth on digital channels. When it comes to Creative Automation, the agency has been at the forefront of innovation and a leader in adopting new technology. Byte embraced creative automation […]","Mon, 26 Apr 2021 13:25:11 +0000"
Introducing The Only Truly Creative Social Display Product,https://celtra.com/blog/introducing-the-only-truly-creative-social-display-product/,"As a publisher or media owner, you know that brands invest millions in producing beautiful, high-quality creative for social media channels. It takes a lot of time, craft, and effort to create thumb-stopping assets that unfortunately have a rather short lifespan on social media. Once the campaign is over or when the audience has seen […]","Wed, 21 Apr 2021 13:18:42 +0000"
Never Miss a Market Opportunity: How to Plan for Agility and Speed in Creative Production,https://celtra.com/blog/never-miss-a-market-opportunity-how-to-plan-for-agility-and-speed-in-creative-production/,"The 24/7, always-connected digital landscape means marketers and in-house creative teams need to move faster than ever before. Why? The cultural impact of COVID-19 has proven that situations can change in the blink of an eye. We saw the rapid, mass development of products like face masks, hand sanitizer, and face shields. We saw our […]","Mon, 12 Apr 2021 17:15:50 +0000"
Product Q&A: Making Creative Production Workflows 2.5x Faster,https://celtra.com/blog/product-qa-making-creative-production-workflows-2-5x-faster/,"Chat with Matic Tribušon, Sr. Director of Engineering at Celtra How Celtra’s product team improved core workflows to make the creative production process 2x faster and more efficient. The product team at Celtra is quite involved in client conversations and proactive in how they approach product development. One of their recent projects evolved into a […]","Mon, 05 Apr 2021 16:57:12 +0000"
Automation’s Role In the In-House Creative Production Process,https://celtra.com/blog/automations-role-in-the-in-house-creative-production-process/,"There are many reasons brands choose to build in-house agencies today. Organizational structures vary by the scope and mission of the agency: some need the extra help in production while others are establishing fully integrated operations with in-house media buying, creative, and marketing. Organizations are looking to gain more control (over brand, message, data, timing, […]","Thu, 01 Apr 2021 19:49:31 +0000"
Enabling Creative Testing for Marketers to Free Designers’ Time,https://celtra.com/blog/enabling-creative-testing-for-marketers-to-free-designers-time/,"Designers have grit. Their passion and perseverance push them to break through their creative boundaries, but there’s one thing they don’t have: Time.  The majority of marketers (86%) say that their creative team needs more time to devote to the creative process. When designers don’t have the bandwidth to fully work through creative ideation, the […]","Thu, 01 Apr 2021 13:47:23 +0000"
Mastering Brand Templates for Local Scaling,https://celtra.com/blog/mastering-brand-templates-for-local-scaling/,"When marketers are racing to keep up with the speed of culture, it can be challenging to find the additional time needed to create localized campaigns. Almost half (44%) of marketers need weeks or months to accelerate global launches which often leads to campaign delays. Marketers can speed up this process by automating production instead […]","Thu, 18 Mar 2021 15:55:52 +0000"
Attractive Video Ad Products: What Publishers Should Invest In,https://celtra.com/blog/attractive-video-ad-products-what-publishers-should-invest-in/,"There are more eyeballs on screens than ever before. Last year, global online consumption doubled to a staggering average of six hours and 59 minutes per day. With so many people spending more time online, publishers must find creative ways to showcase brand content.  One way to accomplish this is through video ad products. The […]","Wed, 17 Mar 2021 13:43:58 +0000"
Celtra Consumer Chronicle Finds Cohesive Branding to Drive Consumer Trust & Sales,https://celtra.com/blog/celtra-consumer-chronicle-finds-cohesive-branding-to-drive-consumer-trust-sales/,"More than half of consumers have been deterred from purchasing a product they might have considered otherwise because of a poorly designed ad. Celtra, a creative software company that enables speed, automation, and control in creative production, today announced new research revealing consumer opinions about cohesive branding being a leading factor to an improved customer […]","Mon, 15 Mar 2021 17:30:38 +0000"
E-Commerce Marketing at Scale: From Product Categories to Creative Assets,https://celtra.com/blog/e-commerce-marketing-at-scale-from-product-categories-to-creative-assets/,"E-commerce is booming. Almost all global internet users (93.5%) purchase products online. This is a major win for e-commerce brands, but there are a few things marketers need to consider as the industry grows. Do they have the creative production workflows to keep up with increasing marketing content demands? How will they appeal to new […]","Fri, 05 Mar 2021 20:26:40 +0000"
How to Scale Creative Production for B2B2C Brands,https://celtra.com/blog/how-to-scale-creative-production-for-b2b2c-brands/,"Company models are changing. As digital continues to grow and transform the market, brands have new opportunities to run their businesses differently. Gone are the days of having to choose between a business-to-consumer (B2C) or business-to-business (B2B) structure. Today, companies can have both. Meet B2B2C, the business-to-business-to-consumer model.  The B2B2C model looks something like this: […]","Tue, 23 Feb 2021 15:38:22 +0000"
How the Pandemic Accelerated the Content Gap,https://celtra.com/blog/how-the-pandemic-accelerated-the-content-gap/,"It’s been quite the year. From sourdough starters to at-home haircuts, the pandemic has had a major impact on our routines. What we originally thought was a two-week break from our desks quickly turned into the at-home normal that we know today.  One of the biggest impacts that the pandemic has had on our daily […]","Fri, 12 Feb 2021 14:16:05 +0000"
How to Achieve Pixel Perfection at Scale in Creative Production,https://celtra.com/blog/how-to-achieve-pixel-perfection-at-scale-in-creative-production/,"Everyone is trying to sell more online, relying largely on digital channels to survive, and perhaps even thrive, during the pandemic. It isn’t enough to just succeed in mass-producing creative assets. In-house creative and marketing teams need to be able to scale in an agile manner to hit campaign launch dates or cultural moments. Most […]","Wed, 03 Feb 2021 19:18:57 +0000"
Why Your E-Commerce Campaigns Need Creative Automation,https://celtra.com/blog/why-your-e-commerce-campaigns-need-creative-automation/,"Online shopping is taking the world by storm. E-commerce sales are estimated to reach 19.2% of all U.S. retail spending by 2024. The COVID-19 pandemic has led so many people to turn to the safety and convenience of online shopping, which has only accelerated this dramatic shift in spending behavior. Although this is exciting news […]","Wed, 03 Feb 2021 19:10:03 +0000"
The Creative Requirements of Expanding Internationally,https://celtra.com/blog/the-creative-requirements-of-expanding-internationally/,"Are you an e-commerce brand looking to expand to new markets through advertising? Perhaps you’re already working with local teams to get campaigns translated and up and running but could use some tips to collaborate better. Either way, going international comes with a unique set of creative challenges. How do you maintain creative excellence with […]","Wed, 27 Jan 2021 17:37:35 +0000"
Getting Skins-Deep with H Code,https://celtra.com/blog/getting-skins-deep-with-h-code/,"The year 2020 had us all plugged-in more than ever before. Whether it was by signing up for a new TV streaming service or constantly scrolling through social media on our phones, we spent far more time in front of our screens. Some digital trends stuck around while others were quickly forgotten (remember face-aging filters?), […]","Thu, 21 Jan 2021 18:05:30 +0000"
3 Reasons Your Marketing Team Needs Creative Automation,https://celtra.com/blog/3-reasons-your-marketing-team-needs-creative-automation/,"Marketers always try to stay one step ahead of the game. From audience research to experimenting with innovative creative strategies, marketers are the experts at finding effective ad content solutions. With stagnant budgets and growing consumer demands, it can be difficult to stay on track of, let alone exceed, their goals. What can marketing teams […]","Tue, 19 Jan 2021 17:42:06 +0000"
"Meet Our New Ads: Created in Celtra, by Celtra, for Celtra",https://celtra.com/blog/meet-our-new-ads-created-in-celtra-by-celtra-for-celtra/,"By now, you’ve probably seen our new look. It is bold, playful, and most importantly, has the ability to inspire designers and marketers alike. In fact, it inspired us to update our campaign assets and do that by tapping into automation.  For the last ten years, Celtra has focused on enabling creativity for digital advertising. […]","Thu, 14 Jan 2021 17:47:50 +0000"
What Marketers are Saying About Creative Challenges,https://celtra.com/blog/what-marketers-are-saying-about-creative-challenges/,"With content consumption on the rise, marketers are racing to take advantage of it. Although the chase brings excitement and newfound discovery, it requires a great amount of time and effort. From exploring new ways to target audiences to keeping up with growing shopper demands, it can be difficult for marketers to sustain brand growth. […]","Thu, 07 Jan 2021 17:00:18 +0000"
Introducing the Celtra Rebrand,https://celtra.com/blog/introducing-the-celtra-rebrand/,"We’ve come a long way since the early days of Celtra. Back in 2010, we knew mobile would be big, so we took on the challenge of making mobile advertising creative. We introduced a browser-based design and production software product built specifically for this new digital channel. We enabled designers and an entire ecosystem of […]","Wed, 02 Dec 2020 06:39:19 +0000"
How Creative and Performance Teams Work Together,https://celtra.com/blog/how-creative-and-performance-teams-work-together/,"In-house creative and performance teams haven’t always seen eye to eye, but let’s face it – life is much better when they do. A successful brand is made of both these counterparts, yet they are often treated in silos, which can be problematic as both need to be speaking the same language. Compelling creative may […]","Tue, 01 Dec 2020 22:13:08 +0000"
"DCO Is not a Solution, It’s a Production Problem",https://celtra.com/blog/dco-is-not-a-solution-its-a-production-problem/,"Dynamic creative optimization (DCO)  is a display ad technology that has been around for almost a decade now. In an ideal world, DCO would help marketers connect with and convert consumers with ads personalized based on various data points. In the real world, not so much.  As a creative software company that has been around […]","Tue, 01 Dec 2020 21:00:07 +0000"
Why a Modular Product Suite is a Must for Publishers in 2021,https://celtra.com/blog/why-a-modular-product-suite-is-a-must-for-publishers-in-2021/,"This year has been anything but ordinary. From the pandemic to the upcoming death of the Cookie, 2020 has made it incredibly difficult for advertisers and publishers to plan ahead. With so much uncertainty, how can they even begin to prepare for 2021? Let’s take a look at this year’s highlights to find out. 61% […]","Tue, 01 Dec 2020 17:38:32 +0000"
A Tale of Two Teams: Creative Automation for Designers,https://celtra.com/blog/a-tale-of-two-teams-creative-automation-for-designers/,"In part one of our series, we explored how marketers can keep up with the ever-growing demand of content and do even more with existing resources.  This may sound alarming to designers who are already spread thin by the current scope of marketing activities – producing even more content is probably unthinkable. While marketers need […]","Tue, 24 Nov 2020 23:01:46 +0000"
A Tale of Two Teams: Creative Automation for Marketers,https://celtra.com/blog/creative-automation-for-marketers/,"Special update: Register for our upcoming webinar, Creative Automation for Marketers, on Thursday, December 10 at 1 pm ET! Marketers have more opportunity than ever before to reach consumers in highly targeted ways on multiple platforms, test creative strategies, and optimize campaigns.  Yet, with opportunity comes unprecedented challenges. Brands need an exponential amount of […]","Fri, 13 Nov 2020 20:15:54 +0000"
The Designer’s Guide to Scaling Creative Without Sacrificing Quality,https://celtra.com/blog/the-designers-guide-to-scaling-creative-without-sacrificing-quality/,"Marketers own the plan, performance and growth teams focus on the bottom line, but it’s designers who cross the bridge between idea and reality. These are the creative visionaries who know how even the most subtle of nuances – like a specific shape, color and composition – determine whether someone wants to buy into your […]","Wed, 04 Nov 2020 21:40:48 +0000"
Consumers Want More Creative Variety  from Brand Advertising,https://celtra.com/blog/consumers-want-more-creative-variety-from-brand-advertising/,"Now more than ever, online channels have become the go-to for marketers to reach, convince, and convert consumers. It’s no wonder. Digital entertainment and content consumption is at an all-time high because of the pandemic. At the same time, many brands are struggling to produce the sheer volume of creative assets needed to run successful […]","Mon, 02 Nov 2020 14:27:25 +0000"
No Predictions Needed: Tools In-House Creatives Need in 2021,https://celtra.com/blog/no-predictions-needed-tools-in-house-creatives-need-in-2021/,"Remote work is probably this year’s most used phrase after coronavirus, but unlike the latter, at least there is a silver lining. The New York Times recently reported that “July is the new January,” with a growing list of technology companies like Microsoft, Twitter and Dropbox announcing a permanent work-from-home model. Organizations are tasked with […]","Tue, 27 Oct 2020 23:17:21 +0000"
Why Creative Automation Is Every Growth Marketer’s Secret Weapon,https://celtra.com/blog/why-creative-automation-is-every-growth-marketers-secret-weapon/,"How can marketers keep their acquisition campaigns alive and thriving? Every growth marketer will have you know that it takes a lot of testing and learning, knowing your audience like the palm of your hand, and serving content that speaks to them. What is the common thread to all three of these? Creative variety. We […]","Thu, 01 Oct 2020 17:38:48 +0000"
Preparing Creative Production for the E-Com First Holidays,https://celtra.com/blog/creative-production-q4-creative/,"We might be in the middle of a pandemic but that doesn’t mean people aren’t celebrating the holidays this year. The holiday shopping season is the last chance of the year for brands to swoop up sales and boost their bottom line, especially after the Q2 dip in spending. l. Spending patterns indicate a big […]","Wed, 16 Sep 2020 12:45:04 +0000"
Summer Sizzlers: The Hottest Creative Campaigns of 2020,https://celtra.com/blog/summer-sizzlers-the-hottest-creative-campaigns-of-2020/,"We’re now in the sweaty throes of summer – and while COVID-19 and quarantine continues to keep us in the confines of our homes, the imagination runs amok. This is not always a bad thing if you run in creative circles, and we’ve come across some real click-worthy campaigns to get your creative juices revving […]","Tue, 18 Aug 2020 15:27:35 +0000"
13 Signs Your Creative Team Is Over Capacity (+ What to Do About It),https://celtra.com/blog/13-signs-your-creative-team-is-over-capacity-what-to-do-about-it/,"Brands are moving their mission-critical creative work in-house in troves. Why? With the ever-growing options to advertise online, speed and agility are becoming non-negotiable for marketers. Nobody has the time to wait weeks or even months to design and produce campaigns that need to be out the door, STAT.  The problem often is that companies, […]","Wed, 12 Aug 2020 19:46:37 +0000"
Brand-Side Podcast Series: Coolin’ Down With YETI,https://celtra.com/blog/brand-side-podcast-series-coolin-down-with-yeti/,"Brand-Side is our new podcast series designed for the creative community. We’ve partnered with the world’s leaders in marketing, creative operations and design to get an insiders look at agency and in-house life, and how creative stories are turned into impactful campaigns. We kick off our pilot episode with Paulie Dery, VP Brand Strategy & […]","Wed, 05 Aug 2020 16:48:04 +0000"
"Conversations on Creative Enablement With CNN, NBCU, and InMobi",https://celtra.com/blog/conversations-on-creative-enablement-with-cnn-nbcu-and-inmobi/,"This past June marks exactly 10 years since we launched the first Celtra creative software. In 2010, we took on the challenge of how to make mobile advertising creative. We introduced a web browser-based design and production tool, built specifically for new digital channels. Beyond enabling designers, we designed our product for the entire ecosystem […]","Mon, 03 Aug 2020 15:55:25 +0000"
Discussing Creative Automation With Spotify and Lazada,https://celtra.com/blog/discussing-creative-automation-with-spotify-and-lazada/,"This past June marks exactly 10 years since we launched the first Celtra creative software. In 2010, we took on the challenge of how to make mobile advertising creative. We introduced a web browser-based design and production tool, built specifically for new digital channels. Beyond enabling designers, we designed our product for the entire ecosystem […]","Thu, 23 Jul 2020 15:41:31 +0000"
Get Ready for the Creative Automation Revolution,https://celtra.com/blog/get-ready-for-the-creative-automation-revolution/,"Consumers have evolved. They’re on more screens. They’re more demanding. They turn to word-of-mouth and are critical of the content and ads they see. If you’re a smart marketer, you know how consumers think about ads they didn’t ask to see and you try to avoid putting anything in front of people that might annoy […]","Wed, 24 Jun 2020 12:28:19 +0000"
